成交记录ID,户型,小区名称,建筑面积,成交价,挂牌价,单价,成交周期,成交日期,朝向,装修,电梯,楼层,建筑类型
101103838645,3室2厅,金辉公园里,116,197,197,16949,401,2020.01.15,南北,毛坯,,中楼层(共12层),板楼
101106152833,2室2厅,万科城市之光蜜柚,78,118,120,15129,77,2020.01.15,南,精装,,低楼层(共33层),塔楼
101106734201,2室1厅,绿地香树花城,72.55,86,91,11854,5,2020.01.15,西,毛坯,,中楼层(共32层),板塔结合
101106480493,1室1厅,东关小区,47.8,40,43,8369,36,2020.01.15,南北,简装,,高楼层(共7层),板楼
101106288526,3室2厅,中国石油小区,113.04,90,77,7962,60,2020.01.15,南北,简装,,高楼层(共6层),板楼
101102981933,2室2厅,万华园琳苑小区,105,106,110,10096,579,2020.01.15,南北,简装,,低楼层(共18层),塔楼
101105003967,3室1厅,中国铁建西派国际,95.87,145,147,15073,208,2020.01.15,东南,毛坯,,中楼层(共32层),板塔结合
101105630581,2室2厅,恒大帝景,88,133,135,15091,136,2020.01.15,南,精装,,高楼层(共29层),板塔结合
101105598383,3室2厅,冠昌金域湾畔,189.01,260,298,13756,140,2020.01.15,南北,毛坯,,中楼层(共6层),板楼
101104830214,4室2厅,雅居乐御宾府,210.44,430,440,20434,231,2020.01.15,南北,毛坯,,中楼层(共28层),板楼
